true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,34,5,0,0,0,0,1
class_1,5,35,0,0,0,0,0
class_2,0,0,16,6,5,4,9
class_3,0,0,15,10,6,7,2
class_4,1,0,7,3,14,4,11
class_5,1,0,11,3,1,23,1
class_6,2,1,1,1,18,7,10
