true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,4,7,10,10,4,4,1
class_1,12,1,1,10,1,11,4
class_2,3,9,6,3,3,15,1
class_3,5,8,4,11,7,2,3
class_4,4,6,10,3,5,2,10
class_5,4,9,7,7,6,4,3
class_6,6,10,6,4,4,5,5
