class_id,support,precision,recall,f1
0,98,0.0,0.0,0.0
1,859,0.5665101721439749,0.8428405122235157,0.6775854000935891
2,385,0.6403940886699507,0.6753246753246753,0.6573957016434891
3,749,0.5580524344569289,0.5967957276368492,0.5767741935483871
4,100,0.0,0.0,0.0
5,100,0.0,0.0,0.0
6,975,0.7145969498910676,0.6728205128205128,0.6930797675647122
7,135,0.0,0.0,0.0
8,834,0.5814606741573034,0.7446043165467626,0.6529968454258676
9,834,0.6449136276391555,0.8057553956834532,0.7164179104477612
10,624,0.6015748031496063,0.6121794871794872,0.6068308181096109
11,750,0.7479484173505275,0.8506666666666667,0.7960074859638179
12,100,0.6101694915254238,0.72,0.6605504587155964
13,600,0.698,0.5816666666666667,0.6345454545454546
14,100,0.0,0.0,0.0
15,100,0.0,0.0,0.0
16,100,0.0,0.0,0.0
17,100,0.0,0.0,0.0
18,100,0.0,0.0,0.0
19,100,0.0,0.0,0.0
20,384,0.6941176470588235,0.6145833333333334,0.6519337016574587
21,599,0.4876140808344198,0.6243739565943238,0.5475841874084919
