true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,33,1,1,15,0,4,10
class_1,44,1,0,8,4,4,3
class_2,29,0,1,14,7,5,8
class_3,24,3,0,18,5,7,7
class_4,22,1,1,18,12,5,5
class_5,25,2,0,16,4,4,13
class_6,37,1,0,11,0,9,6
