class_id,support,precision,recall,f1
0,21,1.0,0.7619047619047619,0.8648648648648648
1,21,0.8260869565217391,0.9047619047619048,0.8636363636363636
2,21,1.0,0.9047619047619048,0.9500000000000001
3,21,0.6842105263157895,0.6190476190476191,0.6500000000000001
4,21,0.8695652173913043,0.9523809523809523,0.909090909090909
5,21,0.7142857142857143,0.47619047619047616,0.5714285714285714
6,21,0.9545454545454546,1.0,0.9767441860465117
7,21,1.0,1.0,1.0
8,21,1.0,1.0,1.0
9,21,0.6153846153846154,0.7619047619047619,0.6808510638297872
10,21,0.9130434782608695,1.0,0.9545454545454545
11,21,1.0,0.9047619047619048,0.9500000000000001
12,21,0.6538461538461539,0.8095238095238095,0.7234042553191489
13,21,0.9545454545454546,1.0,0.9767441860465117
