true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,8,45,16,0,0,0,11
class_1,8,44,23,0,0,0,5
class_2,1,11,22,3,0,0,43
class_3,2,16,31,0,0,0,31
class_4,2,30,25,1,0,0,22
class_5,2,20,22,2,0,0,34
class_6,1,6,38,1,0,0,34
