true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,26,17,2,5,7,3,4
class_1,23,28,1,0,3,4,5
class_2,6,3,25,5,9,9,7
class_3,1,5,8,39,7,0,4
class_4,6,5,3,5,35,7,3
class_5,7,8,11,7,12,11,8
class_6,2,5,2,6,6,7,36
