true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,19,10,16,3,5,2,9
class_1,16,12,10,8,6,2,10
class_2,15,7,19,2,7,7,7
class_3,19,6,11,10,8,1,9
class_4,7,7,9,2,27,5,7
class_5,10,3,15,9,11,7,9
class_6,12,9,6,7,4,0,26
