class_id,support,precision,recall,f1
0,40,0.5833333333333334,0.525,0.5526315789473685
1,40,0.7419354838709677,0.575,0.6478873239436619
2,40,0.24,0.45,0.3130434782608696
3,40,0.5925925925925926,0.4,0.4776119402985075
4,40,0.4166666666666667,0.5,0.45454545454545453
5,40,0.27906976744186046,0.3,0.2891566265060241
6,40,0.7,0.35,0.4666666666666667
