epoch,train_accuracy,train_loss,epoch_time_s
1,0.6858974358974359,0.8816691647228013,43.162429964000694
2,0.9220085470085471,0.21741825303970239,41.64930636999998
3,0.9465811965811965,0.1534095976469863,37.23714186399957
4,0.969017094017094,0.10100916731688711,39.0411085249998
5,0.9839743589743589,0.05485987472228515,37.90054936700108
6,0.9658119658119658,0.09449708538177685,38.24861723600043
7,0.9786324786324786,0.06482952820439623,31.668379206999816
8,0.9839743589743589,0.06518783318436044,28.939239166000334
9,0.9754273504273504,0.08345280727769575,28.05552216200158
10,0.9775641025641025,0.06793871693886243,30.550942091000252
11,0.9882478632478633,0.03914723812769621,31.1791018240001
12,0.9903846153846154,0.025621086284398843,28.73597089699979
13,0.9946581196581197,0.020239486830691114,28.504553240998575
14,0.9914529914529915,0.021391916395220745,29.16283220100013
15,0.9935897435897436,0.018318261091525737,30.005721452000216
16,0.9957264957264957,0.014497694278804537,27.9583594980013
17,0.9978632478632479,0.013148455201990457,26.899655944000187
18,0.9978632478632479,0.0054212466546963165,27.66062423600124
19,1.0,0.001403921860883124,27.661407018000318
20,1.0,0.0006330200882915121,27.285429288998785
21,1.0,0.0006953648577094014,26.369758905999333
22,1.0,0.0002348179809931212,28.3601563480006
23,1.0,0.00029640885032156214,28.859653217001323
24,1.0,0.00026309587714126986,20.99537551100002
25,1.0,0.0002829330804425443,23.32611183500012
26,1.0,0.00017739187564868003,25.31672486500065
27,1.0,0.00015564216325720216,29.491247754000142
28,1.0,0.0001351331158310551,26.902550159000384
29,1.0,0.00015792786031782342,27.867491541999698
30,1.0,9.476951533395192e-05,29.032659914999385
