true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,42,5,0,5,0,0,7,4,5,2,3,2,0,0,9,0,0,11,0,1,2,0
class_1,1,658,5,32,0,2,11,7,18,41,27,4,21,0,0,8,1,4,0,1,0,18
class_2,1,13,202,12,5,12,13,3,27,1,17,14,0,21,0,0,1,6,0,0,35,2
class_3,3,31,8,470,0,1,16,11,34,14,11,1,1,74,2,7,0,8,0,29,10,18
class_4,0,0,9,2,57,1,2,0,1,0,2,2,0,13,1,0,0,0,0,0,8,2
class_5,0,5,9,1,1,45,5,0,8,0,4,7,0,4,1,0,0,5,0,0,2,3
class_6,2,41,17,111,2,1,626,22,27,36,21,5,5,19,8,2,3,14,0,5,8,0
class_7,2,12,1,23,0,0,5,40,18,9,5,0,2,4,0,3,0,0,0,0,8,3
class_8,4,31,31,23,1,2,36,12,546,57,4,13,7,18,0,6,0,8,0,0,31,4
class_9,1,39,1,16,0,1,29,2,18,701,5,1,8,0,0,3,0,0,0,2,0,7
class_10,4,40,9,30,0,3,6,8,16,7,321,5,3,25,9,3,1,6,0,1,7,120
class_11,2,44,13,5,0,7,19,0,42,12,16,557,3,5,1,3,1,4,11,0,2,3
class_12,0,9,0,0,0,0,0,1,2,18,1,0,69,0,0,0,0,0,0,0,0,0
class_13,1,0,10,35,1,1,3,0,26,3,14,2,0,442,1,1,0,2,0,0,23,35
class_14,3,3,1,12,2,1,3,0,0,0,2,0,0,4,58,0,0,5,0,0,1,5
class_15,0,6,0,1,0,0,1,2,13,17,1,2,1,0,1,52,0,0,0,0,0,3
class_16,0,15,2,1,1,1,5,0,2,1,13,8,0,0,0,0,49,0,1,0,0,1
class_17,4,9,3,12,0,0,3,1,5,2,4,0,0,2,3,0,0,51,0,1,0,0
class_18,0,2,0,0,0,7,2,0,9,4,4,49,0,1,0,2,0,1,18,0,0,1
class_19,0,3,0,46,0,0,2,2,1,1,0,0,0,4,0,2,0,2,0,37,0,0
class_20,2,2,10,6,3,0,3,4,40,3,9,3,0,29,0,0,0,0,0,0,268,2
class_21,1,16,2,35,1,3,3,9,24,7,57,7,0,78,7,13,0,4,1,0,16,315
