true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,16,7,4,15,12,10,16
class_1,12,18,9,6,4,8,23
class_2,17,7,9,3,17,3,24
class_3,9,6,6,18,15,13,13
class_4,5,10,6,17,4,12,26
class_5,4,7,12,8,8,21,20
class_6,24,12,9,4,9,12,10
