true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,0,0,0,36,0,0,4
class_1,0,0,0,28,0,0,12
class_2,0,0,0,32,0,0,8
class_3,0,0,0,30,0,0,10
class_4,0,0,0,19,0,0,21
class_5,0,0,0,26,0,0,14
class_6,0,0,0,30,0,0,10
