true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16,class_17,class_18,class_19,class_20,class_21
class_0,49,3,1,2,1,1,13,1,3,1,9,1,0,0,5,0,0,6,0,0,0,2
class_1,4,594,5,56,2,1,27,7,19,29,52,7,12,10,0,7,2,2,0,8,0,15
class_2,13,21,159,22,8,21,32,4,19,13,22,13,0,18,2,0,0,3,2,0,6,7
class_3,4,14,3,496,1,1,39,6,16,11,23,6,1,57,5,6,3,0,0,15,1,41
class_4,3,2,3,5,48,2,10,0,4,2,6,1,0,6,2,0,0,0,0,1,1,4
class_5,0,5,5,4,0,55,6,0,3,0,5,4,0,3,3,2,0,0,3,0,0,2
class_6,5,12,8,54,4,2,771,12,13,31,13,8,2,9,5,4,0,4,2,5,0,11
class_7,4,4,0,13,0,0,18,37,18,6,8,0,3,6,0,1,0,0,0,0,1,16
class_8,9,24,21,17,2,6,71,5,540,35,18,20,2,18,0,10,1,3,1,1,10,20
class_9,1,33,3,34,0,2,63,5,27,622,11,3,11,1,0,7,0,0,2,1,0,8
class_10,1,15,5,22,4,1,11,4,4,4,444,6,0,31,3,1,0,0,3,2,0,63
class_11,0,17,12,6,2,21,38,1,30,21,6,543,1,7,0,7,3,1,23,1,1,9
class_12,1,23,0,5,0,0,2,1,0,7,3,1,55,1,0,0,0,1,0,0,0,0
class_13,1,10,3,58,1,4,13,2,16,9,38,3,0,363,2,4,0,3,0,1,3,66
class_14,2,2,0,8,1,0,12,0,0,0,5,0,0,4,61,0,0,1,0,1,0,3
class_15,0,7,0,4,0,1,2,0,10,13,1,2,0,0,0,51,0,0,0,0,0,9
class_16,0,12,0,2,0,2,7,0,0,5,5,2,0,0,0,0,62,0,1,0,1,1
class_17,6,1,1,8,2,0,25,0,0,1,4,4,0,3,2,0,1,34,0,4,0,4
class_18,0,1,1,1,1,10,4,0,1,7,2,28,0,3,0,2,2,0,35,0,0,2
class_19,0,1,0,44,0,0,7,0,1,1,1,0,0,3,2,2,0,1,0,36,0,1
class_20,7,3,16,16,2,3,14,8,33,9,20,5,2,56,1,3,0,1,0,0,155,30
class_21,0,6,3,32,1,1,7,3,15,9,116,9,0,60,1,4,0,0,0,0,4,328
