true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,43,0,1,0,0,0
class_1,0,38,0,0,1,5
class_2,0,0,41,0,3,0
class_3,0,0,0,30,0,14
class_4,2,0,39,0,3,0
class_5,0,1,0,0,0,43
