true\pred,class_0,class_1,class_2,class_3,class_4,class_5
class_0,44,0,0,0,0,0
class_1,0,44,0,0,0,0
class_2,0,0,44,0,0,0
class_3,0,0,0,43,0,1
class_4,0,0,0,0,44,0
class_5,0,0,0,0,0,44
