epoch,train_accuracy,train_loss,epoch_time_s
1,0.24175824175824176,2.1167506394368827,20.42043563898187
2,0.5842490842490843,1.1658347231564505,10.737532783998176
3,0.7985347985347986,0.5694170738314535,9.56017614598386
4,0.8827838827838828,0.3400185392016456,9.055441653938033
5,0.891941391941392,0.2676036292380029,8.352208793046884
6,0.9615384615384616,0.13960275457892227,9.14408708596602
7,0.9835164835164835,0.060352478053543594,8.80545561609324
8,0.9926739926739927,0.026347996305415046,8.969371626037173
9,0.989010989010989,0.028769170053494282,8.799357193056494
10,0.978021978021978,0.054178687324235725,9.402724729967304
11,0.978021978021978,0.07010970567438356,9.385672869975679
12,0.9798534798534798,0.05802921164821792,9.798478203010745
13,0.9908424908424909,0.07144873354570333,9.975313361966982
14,0.978021978021978,0.04950642705837012,9.100912726018578
15,0.9926739926739927,0.0358635254490834,8.90348592097871
16,0.9908424908424909,0.030991135035460686,9.05138868605718
17,0.9981684981684982,0.012612868578858918,9.156367077026516
18,1.0,0.004433764993799884,10.270092493970878
19,1.0,0.0020285654992578147,10.318933970993385
20,1.0,0.0006469515801088427,10.294601118075661
21,1.0,0.0005849159437601861,10.154412708012387
22,1.0,0.0003896991426130286,10.250637925928459
23,1.0,0.0002606015401037799,9.828930841991678
24,1.0,0.00022318713772520013,9.459440128062852
25,1.0,0.00020086621305301459,9.91465181298554
26,1.0,0.00017802189969911406,10.113542455947027
27,1.0,0.00016487076872790868,10.344542281003669
28,1.0,0.00015304464208910535,10.977363985031843
29,1.0,0.00014410453176700712,11.665765623096377
30,1.0,0.0001349641897565525,8.740720617002808
31,1.0,0.00012855522565700578,9.272001381963491
32,1.0,0.00012071478315339093,9.786247730022296
33,1.0,0.00011555965556575483,10.459147159941494
34,1.0,0.00010864920624200895,9.024750004988164
35,1.0,0.00010415995601204739,8.780975145986304
36,1.0,9.983270585787698e-05,9.54839593404904
37,1.0,9.493074209715884e-05,9.340548095991835
38,1.0,9.103764764087842e-05,10.559083295054734
39,1.0,8.719498730767685e-05,9.533607912017033
40,1.0,8.321560823951119e-05,8.424481056979857
41,1.0,8.021470214674785e-05,8.333185477065854
42,1.0,7.680895520931095e-05,9.76741931901779
43,1.0,7.387558309593316e-05,8.759319954901002
44,1.0,7.156310666454001e-05,8.715264915954322
45,1.0,6.868389717942008e-05,9.879231893923134
46,1.0,6.679934362875342e-05,9.720978682045825
47,1.0,6.446986024610395e-05,9.472038681968115
48,1.0,6.195655468494832e-05,9.751136997016147
49,1.0,5.9820803894764565e-05,9.266749526956119
50,1.0,5.785749293357388e-05,10.649115920998156
