true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,8,6,11,0,3,4,8
class_1,7,5,13,5,0,0,10
class_2,2,3,21,3,8,3,0
class_3,5,0,9,8,0,6,12
class_4,6,6,22,0,4,1,1
class_5,3,3,12,6,2,6,8
class_6,6,5,12,4,2,7,4
