class_id,support,precision,recall,f1
0,21,1.0,0.8571428571428571,0.923076923076923
1,21,0.9,0.8571428571428571,0.8780487804878048
2,21,0.8695652173913043,0.9523809523809523,0.909090909090909
3,21,0.6086956521739131,0.6666666666666666,0.6363636363636365
4,21,1.0,1.0,1.0
5,21,1.0,0.8571428571428571,0.923076923076923
6,21,0.8695652173913043,0.9523809523809523,0.909090909090909
7,21,1.0,1.0,1.0
8,21,1.0,0.8571428571428571,0.923076923076923
9,21,0.7777777777777778,1.0,0.8750000000000001
10,21,0.875,1.0,0.9333333333333333
11,21,0.8571428571428571,0.8571428571428571,0.8571428571428571
12,21,0.8333333333333334,0.7142857142857143,0.7692307692307692
13,21,1.0,0.9047619047619048,0.9500000000000001
