true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13
class_0,13,0,0,0,0,0,0,0,0,0,2,0,0,6
class_1,0,21,0,0,0,0,0,0,0,0,0,0,0,0
class_2,1,0,19,0,0,0,0,0,0,0,0,0,0,1
class_3,0,11,1,7,0,0,0,0,0,0,1,0,0,1
class_4,0,0,0,0,20,1,0,0,0,0,0,0,0,0
class_5,0,0,0,0,0,7,0,0,3,11,0,0,0,0
class_6,3,0,0,0,0,0,16,1,0,0,0,0,0,1
class_7,0,0,0,0,0,0,0,20,0,0,1,0,0,0
class_8,0,0,0,0,0,0,0,0,21,0,0,0,0,0
class_9,0,0,0,0,0,0,0,0,11,10,0,0,0,0
class_10,0,0,0,1,0,0,0,0,0,0,17,0,0,3
class_11,0,0,0,0,0,0,6,0,0,0,0,15,0,0
class_12,1,9,0,3,0,0,0,0,0,0,0,0,8,0
class_13,0,1,0,0,0,0,0,0,0,0,1,0,0,19
