true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,128,0,0,2,0,1,1
class_1,0,86,0,0,0,2,1
class_2,5,1,276,0,9,1,1
class_3,3,0,0,95,0,0,1
class_4,1,0,0,3,238,0,0
class_5,2,0,0,1,0,73,4
class_6,2,0,0,0,1,2,56
