class_id,support,precision,recall,f1
0,40,0.7894736842105263,0.75,0.7692307692307692
1,40,0.8,0.9,0.8470588235294118
2,40,0.3333333333333333,0.35,0.3414634146341463
3,40,0.40625,0.325,0.36111111111111116
4,40,0.5,0.425,0.45945945945945943
5,40,0.72,0.45,0.5538461538461539
6,40,0.34375,0.55,0.42307692307692313
