true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,50,10,0,0,0,2,2
class_1,6,57,0,0,1,0,0
class_2,0,2,34,8,9,8,3
class_3,1,0,4,53,4,0,2
class_4,1,0,8,2,46,6,1
class_5,0,0,2,2,7,52,1
class_6,3,1,1,0,0,4,55
