true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,34,7,8,4,0,18,9
class_1,32,23,8,0,1,12,4
class_2,2,4,32,5,3,11,23
class_3,12,4,16,1,0,17,30
class_4,4,11,14,4,2,27,18
class_5,9,1,11,3,6,20,30
class_6,5,7,16,6,6,28,12
