true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,13,9,9,0,4,31,14
class_1,21,11,7,1,3,27,10
class_2,2,3,35,6,17,9,8
class_3,1,6,26,19,13,2,13
class_4,5,11,22,8,16,13,5
class_5,2,4,10,3,16,33,12
class_6,1,0,11,2,1,15,50
