epoch,train_accuracy,train_loss,epoch_time_s
1,0.14516406115787667,2.6583209176356526,1347.0866953979712
2,0.26682127927618393,2.3035271149596923,1304.6183595950133
3,0.328465899330012,2.1233963134232403,1315.6017266740091
4,0.36500028631964726,2.0060814300749654,1318.2681635830086
5,0.4003607627555403,1.906357271506233,1301.8573543690145
6,0.4224073755941133,1.836111552204824,1307.1085074000293
7,0.44018782568859877,1.76567733909013,1309.7607221569633
8,0.45593540628757945,1.7313912265702005,1333.3194176909747
9,0.4652980587527916,1.6925063512445842,1354.5449842899689
10,0.480272576304186,1.6490404069174511,1092.0865185129805
11,0.49527572582030577,1.6056693091409173,1103.54943043401
12,0.500887590906488,1.5773335812953728,1124.9190862639807
13,0.5078165263700395,1.5571472582822266,1377.639689973963
14,0.5146023020099639,1.54105348927127,1342.4396817850065
15,0.5285460688312432,1.5075396069722344,1343.3135701070423
16,0.530578938326748,1.4989792937259798,1349.5326097739744
17,0.5356754280478726,1.4823065741067762,1348.5296110860072
18,0.5375078737902995,1.4764642242726431,1324.197213206964
19,0.5489892916451927,1.433811467646706,1317.4122322879848
20,0.5497909866575045,1.44134338531599,1356.177376141015
21,0.5484166523506843,1.4427993771328533,1349.1791511760093
22,0.565738991009563,1.39123205068096,1602.782010785013
23,0.5625035789955907,1.4009665911777769,1339.2951175480266
24,0.549762354692779,1.4432489899079537,1386.8350639240234
25,0.5669987974574815,1.379966493530221,1296.419465501036
26,0.5543148370841207,1.4291630831124111,1389.3398283710121
27,0.5488461318215656,1.4497795606993362,1394.78912554204
28,0.5684017637290271,1.3771562830030948,1436.481446143007
29,0.5655099352917597,1.3854192217238845,1805.9869609160232
30,0.5559182271087442,1.4347183293905248,1441.2677172099939
31,0.5629616904311974,1.4019020082464144,1388.9429759489722
32,0.5614441963007502,1.4202714094842332,1411.3735836290289
33,0.5509362652465212,1.4378535114038866,1297.643372438033
34,0.5589818473343641,1.4196458060205006,1191.3241327569704
35,0.5733264616617992,1.3747739384880606,1225.4085679469863
36,0.5809998282082116,1.3501558844551547,1198.7160859409487
37,0.5811716199965642,1.3528752826315933,1225.0486335159512
38,0.5768195613583004,1.3580727928359095,1067.5338794229901
39,0.5732691977323484,1.3758582045298389,1251.0811975360266
40,0.5727251904025654,1.3744276571757112,1428.6565570780076
41,0.577478096546985,1.3588008362696846,1236.1441110930173
42,0.5840634484338315,1.34265799334128,1042.0827757639927
43,0.5637920174082346,1.4030921018963955,1042.0092927030055
44,0.5631621141842753,1.4228699567193313,1235.744713364984
45,0.5688598751646338,1.3890820256228682,1094.6553670149879
46,0.573927732921033,1.3633929168222996,968.2930463119992
47,0.5785374792418255,1.3677411947860372,1051.1765994669986
48,0.5793391742541373,1.3618184846816779,1389.7039228149806
49,0.5711790643073927,1.3776078443172795,1450.3081528969924
50,0.5776498883353376,1.3621663545979221,1351.579399676004
51,0.560957452900418,1.4135088357825476,1397.9412771019852
52,0.5733550936265247,1.3741409674219431,1392.290664267959
53,0.5645937124205463,1.4037882574425253,1248.1574656029698
54,0.5783943194181985,1.3546902723194418,1287.0884189020144
55,0.5645650804558209,1.4068094634084107,1265.3215890399879
56,0.5541144133310427,1.439585436935285,1206.8716935869888
57,0.5601843898528317,1.417931275775136,1099.04689108202
58,0.5245948576991353,1.553058421271149,1210.2384923770442
59,0.5161484281051366,1.5683575028414198,1169.4809118990088
60,0.5525682872358701,1.4531391303727548,1314.7433331999928
