class_id,support,precision,recall,f1
0,98,0.09523809523809523,0.02040816326530612,0.03361344537815126
1,859,0.4975704567541302,0.5960419091967404,0.5423728813559322
2,385,0.382830626450116,0.42857142857142855,0.4044117647058823
3,749,0.41915227629513346,0.35647530040053405,0.3852813852813853
4,100,0.2028985507246377,0.14,0.16568047337278108
5,100,0.3194444444444444,0.23,0.26744186046511625
6,975,0.5361111111111111,0.5938461538461538,0.5635036496350365
7,135,0.2,0.02962962962962963,0.05161290322580646
8,834,0.42095238095238097,0.5299760191846523,0.4692144373673036
9,834,0.6971235194585449,0.4940047961630695,0.5782456140350877
10,624,0.35789473684210527,0.5993589743589743,0.44817255841821446
11,750,0.5606207565470417,0.7706666666666667,0.6490735541830432
12,100,0.2318840579710145,0.16,0.1893491124260355
13,600,0.41478439425051333,0.33666666666666667,0.37166513339466417
14,100,0.13157894736842105,0.05,0.07246376811594202
15,100,0.1875,0.09,0.12162162162162164
16,100,0.15789473684210525,0.03,0.050420168067226885
17,100,0.2222222222222222,0.02,0.03669724770642202
18,100,0.0,0.0,0.0
19,100,0.11290322580645161,0.07,0.08641975308641975
20,384,0.344311377245509,0.2994791666666667,0.32033426183844016
21,599,0.30915371329879104,0.2988313856427379,0.3039049235993209
