class_id,support,precision,recall,f1
0,21,0.6923076923076923,0.8571428571428571,0.7659574468085107
1,21,1.0,0.9047619047619048,0.9500000000000001
2,21,0.84,1.0,0.9130434782608696
3,21,0.8095238095238095,0.8095238095238095,0.8095238095238095
4,21,0.9545454545454546,1.0,0.9767441860465117
5,21,0.7894736842105263,0.7142857142857143,0.7500000000000001
6,21,1.0,1.0,1.0
7,21,1.0,1.0,1.0
8,21,1.0,1.0,1.0
9,21,0.7727272727272727,0.8095238095238095,0.7906976744186046
10,21,1.0,0.9523809523809523,0.975609756097561
11,21,1.0,1.0,1.0
12,21,0.9,0.8571428571428571,0.8780487804878048
13,21,0.875,0.6666666666666666,0.7567567567567567
