true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,0,20,11,2,1,6,0
class_1,1,17,13,2,7,0,0
class_2,1,20,7,1,10,0,1
class_3,0,20,7,1,10,2,0
class_4,0,4,2,0,23,6,5
class_5,0,18,6,2,12,1,1
class_6,0,26,3,2,0,9,0
