class_id,support,precision,recall,f1
0,98,0.5952380952380952,0.5102040816326531,0.5494505494505494
1,859,0.6821782178217822,0.8020954598370198,0.7372926698769395
2,385,0.6987951807228916,0.6025974025974026,0.6471408647140865
3,749,0.6242603550295858,0.5634178905206942,0.592280701754386
4,100,0.6285714285714286,0.66,0.6439024390243901
5,100,0.6764705882352942,0.46,0.5476190476190477
6,975,0.7776510832383124,0.6994871794871795,0.7365010799136068
7,135,0.3708609271523179,0.4148148148148148,0.39160839160839156
8,834,0.7209908735332464,0.6630695443645084,0.6908182386008744
9,834,0.8187660668380463,0.7637889688249401,0.7903225806451613
10,624,0.5307881773399015,0.6907051282051282,0.6002785515320335
11,750,0.7203290246768508,0.8173333333333334,0.7657713928794504
12,100,0.43023255813953487,0.74,0.5441176470588235
13,600,0.5747460087082729,0.66,0.6144297905352987
14,100,0.734375,0.47,0.573170731707317
15,100,0.4895833333333333,0.47,0.47959183673469385
16,100,0.7446808510638298,0.7,0.7216494845360825
17,100,0.7142857142857143,0.45,0.5521472392638037
18,100,0.4578313253012048,0.38,0.4153005464480874
19,100,0.5277777777777778,0.38,0.4418604651162791
20,384,0.7632398753894081,0.6380208333333334,0.6950354609929078
21,599,0.5811051693404634,0.5442404006677797,0.5620689655172414
