epoch,train_accuracy,train_loss,epoch_time_s
1,0.14122596153846154,1.9277929033551897,13.206386258003477
2,0.15084134615384615,1.927564185006278,13.143415346996335
3,0.15084134615384615,1.927031589689709,13.06417995099764
4,0.16887019230769232,1.9230671610151018,12.851158286997816
5,0.18269230769230768,1.9131410008385068,6.491089940995153
6,0.18870192307692307,1.8977104277837844,10.03996083400125
7,0.19170673076923078,1.9057326453072685,6.255915778994677
8,0.16286057692307693,1.907349291301909,5.872033043000556
9,0.18449519230769232,1.9023889723278227,5.908000370000082
10,0.19651442307692307,1.9020365260896228,5.876980200002436
11,0.19290865384615385,1.8997015635172525,8.300946488998306
12,0.1953125,1.898682653336298,12.324615443001676
13,0.19771634615384615,1.8913636162167504,10.675139440994826
14,0.19831730769230768,1.8951676141648066,8.298860237999179
15,0.20192307692307693,1.8944848832629977,7.510553608000919
16,0.19891826923076922,1.8919625781831286,5.904250373998366
17,0.20192307692307693,1.887164983295259,5.8739509569932125
18,0.2013221153846154,1.8959247589111328,6.172309112000221
19,0.21814903846153846,1.8951122238522484,5.970097106001049
20,0.17608173076923078,1.9222262337094262,7.645616294001229
21,0.19591346153846154,1.9081503868103027,11.575593902001856
22,0.21454326923076922,1.8881943384806315,6.377461775999109
23,0.20612980769230768,1.8843829382033574,6.142899067999679
24,0.19891826923076922,1.8994602748325893,6.031806184000743
25,0.1796875,1.9111545698983328,6.501545752995298
26,0.18329326923076922,1.9044156846545992,5.877078051002172
27,0.18870192307692307,1.8996120089576358,5.893451998999808
28,0.1971153846153846,1.9006191662379675,5.8660945009978605
29,0.20072115384615385,1.8975139027550108,5.861549367000407
30,0.20612980769230768,1.8928896131969632,5.864237292000325
31,0.20552884615384615,1.8919606345040458,5.86308469499636
32,0.2109375,1.890045842670259,5.854116192997026
33,0.21394230769230768,1.885572914850144,5.846865056999377
34,0.15985576923076922,1.937737701052711,5.864864583003509
35,0.15144230769230768,1.9462244669596354,5.854733416999807
36,0.13401442307692307,1.9380319504510788,5.8480775200005155
37,0.14903846153846154,1.9328374544779459,5.854469017998781
38,0.171875,1.908935378846668,5.852511114004301
39,0.21454326923076922,1.886408419836135,5.8573233319984865
40,0.22596153846153846,1.8794817243303572,5.8726414870034205
41,0.20793269230769232,1.882989397503081,5.849772925001162
42,0.14362980769230768,1.945824959164574,5.852862507999816
43,0.15685096153846154,1.92853057043893,5.843612179000047
44,0.20793269230769232,1.8889141082763672,5.84980512799666
45,0.22235576923076922,1.8813287462506976,5.845784071003436
46,0.21634615384615385,1.89046999613444,5.848058027004299
47,0.19290865384615385,1.9074775241670154,5.846017224001116
48,0.22115384615384615,1.8797695477803549,5.843254302002606
49,0.21995192307692307,1.8783505303519112,5.840117630999885
50,0.22175480769230768,1.8793066933041527,5.842231282003922
