true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,12,14,34,6,4,8,2
class_1,21,14,21,7,3,4,10
class_2,22,7,19,7,1,9,15
class_3,12,7,36,8,4,6,7
class_4,11,5,31,12,2,9,10
class_5,10,18,15,10,12,5,10
class_6,4,13,25,18,5,10,5
