true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,50,9,4,0,0,1,0
class_1,10,52,1,0,0,0,1
class_2,1,1,35,11,4,9,3
class_3,0,0,1,60,1,1,1
class_4,2,2,3,3,45,8,1
class_5,1,3,5,2,3,48,2
class_6,1,0,1,0,1,1,60
