class_id,support,precision,recall,f1
0,21,0.7083333333333334,0.8095238095238095,0.7555555555555556
1,21,0.7142857142857143,0.47619047619047616,0.5714285714285714
2,21,0.7727272727272727,0.8095238095238095,0.7906976744186046
3,21,0.6666666666666666,0.47619047619047616,0.5555555555555556
4,21,0.9545454545454546,1.0,0.9767441860465117
5,21,0.75,0.2857142857142857,0.4137931034482759
6,21,0.76,0.9047619047619048,0.8260869565217391
7,21,0.9090909090909091,0.9523809523809523,0.9302325581395349
8,21,1.0,0.9047619047619048,0.9500000000000001
9,21,0.5882352941176471,0.9523809523809523,0.7272727272727274
10,21,0.8571428571428571,0.8571428571428571,0.8571428571428571
11,21,0.8888888888888888,0.7619047619047619,0.8205128205128205
12,21,0.53125,0.8095238095238095,0.6415094339622642
13,21,0.6666666666666666,0.5714285714285714,0.6153846153846153
