true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,22,12,0,0,0,5,1
class_1,7,23,2,0,0,6,2
class_2,0,3,21,2,8,4,2
class_3,1,0,10,23,4,0,2
class_4,1,2,15,8,8,5,1
class_5,5,4,5,1,4,13,8
class_6,5,1,2,3,0,6,23
