true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,11,19,7,0,0,0,3
class_1,3,29,7,0,0,1,0
class_2,1,1,21,2,2,7,6
class_3,0,0,16,22,0,1,1
class_4,0,0,22,0,0,9,9
class_5,1,0,5,5,2,26,1
class_6,3,0,0,1,2,3,31
