true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,26,3,4,0,1,1,5
class_1,15,7,4,0,6,4,4
class_2,2,0,18,6,9,4,1
class_3,1,0,4,21,14,0,0
class_4,4,1,1,4,20,4,6
class_5,0,3,6,4,12,13,2
class_6,5,0,9,6,2,3,15
