class_id,support,precision,recall,f1
0,21,0.84,1.0,0.9130434782608696
1,21,1.0,0.9047619047619048,0.9500000000000001
2,21,0.8076923076923077,1.0,0.8936170212765957
3,21,0.75,0.7142857142857143,0.7317073170731706
4,21,1.0,1.0,1.0
5,21,0.9130434782608695,1.0,0.9545454545454545
6,21,1.0,1.0,1.0
7,21,1.0,1.0,1.0
8,21,0.9130434782608695,1.0,0.9545454545454545
9,21,1.0,0.8095238095238095,0.8947368421052632
10,21,0.9090909090909091,0.9523809523809523,0.9302325581395349
11,21,1.0,1.0,1.0
12,21,1.0,0.7619047619047619,0.8648648648648648
13,21,1.0,0.9047619047619048,0.9500000000000001
