true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,45,31,1,0,0,0,3
class_1,17,58,2,0,2,0,1
class_2,8,13,15,1,0,29,14
class_3,2,22,1,3,2,28,22
class_4,3,16,6,1,4,36,14
class_5,0,5,3,2,4,51,15
class_6,2,16,0,1,0,20,41
