true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,10,4,23,3,9,25,6
class_1,7,3,28,2,5,27,8
class_2,6,11,15,2,13,18,15
class_3,14,3,14,4,15,23,7
class_4,1,12,12,3,14,28,10
class_5,14,4,15,4,16,16,11
class_6,13,8,9,5,2,29,14
