true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,123,0,0,5,1,3,0
class_1,0,86,2,0,1,0,0
class_2,0,0,286,0,1,2,4
class_3,1,0,2,95,1,0,0
class_4,0,0,0,2,239,0,1
class_5,0,1,2,0,0,74,3
class_6,0,0,0,0,0,1,60
