class_id,support,precision,recall,f1
0,40,0.41304347826086957,0.475,0.44186046511627913
1,40,0.36923076923076925,0.6,0.4571428571428572
2,40,0.38596491228070173,0.55,0.4536082474226804
3,40,0.2,0.05,0.08000000000000002
4,40,0.325,0.325,0.325
5,40,0.16666666666666666,0.025,0.04347826086956522
6,40,0.4107142857142857,0.575,0.47916666666666663
