true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,4,6,4,2,0,0,24
class_1,6,20,2,0,2,1,9
class_2,1,1,2,9,10,1,16
class_3,0,1,2,21,6,2,8
class_4,1,2,3,5,9,8,12
class_5,1,4,0,2,2,7,24
class_6,0,1,1,7,2,1,28
