true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,29,7,1,0,2,0,1
class_1,12,17,2,2,4,3,0
class_2,4,0,16,1,11,6,2
class_3,1,1,7,19,7,5,0
class_4,0,1,11,7,6,12,3
class_5,2,0,10,2,5,18,3
class_6,6,4,0,3,0,6,21
