true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,12,5,17,1,1,26,18
class_1,19,15,4,2,0,27,13
class_2,3,4,31,10,21,5,6
class_3,0,2,30,18,13,3,14
class_4,2,6,26,2,19,20,5
class_5,5,1,12,4,14,36,8
class_6,5,1,13,3,3,4,51
