true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,11,21,15,6,9,11,7
class_1,22,18,10,5,5,14,6
class_2,4,6,33,1,12,13,11
class_3,2,1,24,2,8,19,24
class_4,11,6,22,1,13,15,12
class_5,4,3,23,11,12,14,13
class_6,9,8,21,4,20,12,6
