true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,0,29,0,0,7,0,4
class_1,0,31,0,0,5,0,4
class_2,0,18,0,2,14,0,6
class_3,0,24,0,1,10,0,5
class_4,0,21,0,0,19,0,0
class_5,0,26,0,0,10,0,4
class_6,0,23,0,0,16,0,1
