true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,19,13,0,0,2,4,2
class_1,21,11,0,1,3,4,0
class_2,0,3,3,11,14,5,4
class_3,1,3,0,16,7,6,7
class_4,1,7,2,5,12,6,7
class_5,1,6,1,4,8,12,8
class_6,0,3,3,12,13,2,7
