epoch,train_accuracy,train_loss,epoch_time_s
1,0.23397435897435898,1.9617475210092006,89.49780872699921
2,0.5042735042735043,1.279010748761332,67.47618147800677
3,0.6292735042735043,0.859897883529337,59.80538581399014
4,0.6495726495726496,0.7344514264000787,62.55936068300798
5,0.688034188034188,0.6801481348836523,61.29648146200634
6,0.7638888888888888,0.5269477484572647,45.417213837994495
7,0.813034188034188,0.4572209909430936,47.84428185499564
8,0.8472222222222222,0.353981005330371,49.13069045500015
9,0.8931623931623932,0.2879240650397081,44.9910065580043
10,0.907051282051282,0.22362109534760827,47.63495492200309
11,0.9273504273504274,0.19805460480543283,54.471370854007546
12,0.9594017094017094,0.1390228403939141,82.96927622100338
13,0.9636752136752137,0.11131057041323084,79.9859039800067
14,0.9775641025641025,0.08097594861800854,76.40866886399454
15,0.9839743589743589,0.06631992349767277,81.0154029950063
16,0.9893162393162394,0.049739905593232214,87.0227008649963
17,0.9754273504273504,0.07315787959557313,87.25497759200516
18,0.9594017094017094,0.10973060544994143,84.48519526699965
19,0.9861111111111112,0.06521872389647695,80.5390818779997
20,0.9893162393162394,0.04495762606971284,83.17347203899408
21,0.9967948717948718,0.02735554802621532,94.40850399699411
22,0.9978632478632479,0.0178378257008954,81.52546561000054
23,0.9989316239316239,0.015735044120213926,83.92900730899419
24,0.9957264957264957,0.01494177039235066,81.1419635360071
25,0.9989316239316239,0.014397892790536085,86.79549765399133
26,0.9989316239316239,0.009114711927488828,82.94631771900458
27,1.0,0.006866816351683731,75.40773456299212
28,1.0,0.004149014078494575,103.21328903999529
29,1.0,0.0029186208207064713,74.01406242100347
30,1.0,0.002519280571116405,87.99016450099589
