true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6
class_0,6,8,9,4,5,2,6
class_1,5,25,1,0,5,0,4
class_2,1,0,8,5,11,11,4
class_3,1,0,9,13,6,6,5
class_4,5,1,14,2,1,15,2
class_5,4,1,7,3,3,19,3
class_6,1,2,7,8,4,8,10
