class_id,support,precision,recall,f1
0,98,0.5697674418604651,0.5,0.5326086956521738
1,859,0.7885304659498208,0.7683352735739232,0.7783018867924528
2,385,0.6366120218579235,0.6051948051948052,0.6205059920106525
3,749,0.5761421319796954,0.6061415220293725,0.5907612231620039
4,100,0.7457627118644068,0.44,0.5534591194968553
5,100,0.5666666666666667,0.51,0.5368421052631579
6,975,0.5655270655270656,0.8143589743589743,0.6675073560319462
7,135,0.41333333333333333,0.45925925925925926,0.43508771929824563
8,834,0.6776084407971864,0.6930455635491607,0.6852400711321873
9,834,0.7616875712656784,0.8009592326139089,0.7808299240210403
10,624,0.6937618147448015,0.5881410256410257,0.6366001734605377
11,750,0.8981001727115717,0.6933333333333334,0.782543265613243
12,100,0.8490566037735849,0.45,0.5882352941176471
13,600,0.6932849364791288,0.6366666666666667,0.6637706342311034
14,100,0.7,0.56,0.6222222222222222
15,100,0.5148514851485149,0.52,0.5174129353233831
16,100,0.8378378378378378,0.62,0.7126436781609196
17,100,0.8135593220338984,0.48,0.6037735849056604
18,100,0.4589041095890411,0.67,0.5447154471544715
19,100,0.5466666666666666,0.41,0.4685714285714285
20,384,0.8153846153846154,0.5520833333333334,0.6583850931677019
21,599,0.5627644569816643,0.666110183639399,0.6100917431192661
